id,nama_kelurahan,puskesmas_id
1,Tawangsari,25
2,Krobokan,25
3,Purwodinatan,28
4,Bulustalan,26
5,Wonodri,26
6,Mlatibaru,32
7,Pendrikan kidul,28
8,Gisikdrono,23
9,Tawangmas,25
10,Cabean,21
11,Salamanmloyo,21
12,Karang ayu,21
13,Kalibanteng kulon,23
14,Kalibanteng kidul,23
15,Bongsari,22
16,Manyaran,24
17,Ngemplaksimongan,22
18,Bojongsalaman,21
19,Kembangarum,24
20,Krapyak,24
21,Tambak harjo,23
22,Purwosari,15
23,Kuningan,33
24,Panggung kidul,15
25,Bandarharjo,33
26,Panggung lor,15
27,Plombokan,15
28,Kranggan,28
29,Gabahan,29
30,Kauman,28
31,Jagalan,29
32,Bangunharjo,28
33,Kembangsari,28
34,Pandansari,28
35,Sekayu,28
36,Miroto,29
37,Brumbungan,29
38,Pekunden,29
39,Karangkidul,29
40,Mlatiharjo,30
41,Rejomulyo,32
42,Kemijen,32
43,Bugangan,30
44,Kebonagung,30
45,Sarirejo,31
46,Rejosari,31
47,Banjardowo,10
48,Sembungharjo,9
49,Bangetayu kulon,9
50,Bangetayu wetan,9
51,Genuksari,10
52,Gebangsari,10
53,Terboyo wetan,10
54,Muktiharjo lor,10
55,Terboyo Kulon,10
56,Trimulyo,10
57,Tlogosari wetan,20
58,Pedurungan tengah,20
59,Tlogosari kulon,19
60,Palebon,20
61,Gemah,19
62,Kalicari,19
63,Tlogomulyo,20
64,Pedurungan lor,20
65,Pedurungan kidul,20
66,Penggaron kidul,20
67,Gajahmungkur,7
68,Bendan ngisor,7
69,Bendan duwur,7
70,Bendungan,7
71,Petompon,7
72,Sampangan,7
73,Karanganyar gunung,6
74,Sendangmulyo,35
75,Sambiroto,35
76,Tembalang,34
77,Mangunharjo,35
78,Meteseh,34
79,Bulusan,34
80,Sumurboto,4
81,Srondol kulon,1
82,Srondol wetan,1
83,Pedalangan,3
84,Banyumanik,1
85,Padangsari,3
86,Gedawang,2
87,Pungangan,11
88,Kandri,11
89,Kalisegoro,12
90,Ngijo,12
91,Cepoko,11
92,Nongkosawit,11
93,Gunungpati,11
94,Plalangan,11
95,Sekaran,12
96,Sadeng,11
97,Patemon,12
98,Mangunsari,11
99,Pakintelan,11
100,Wonoplumbon,14
101,Wonolopo,14
102,Ngadirgo,14
103,Mijen,14
104,Purwosari,13
105,Jatibarang,14
106,Pesantren,14
107,Jatisari,14
108,Tambangan,14
109,Cangkiran,14
110,Bubakan,13
111,Polaman,13
112,Gondoriyo,16
113,Podorejo,16
114,Wates,16
115,Tambakaji,18
116,Bringin,16
117,Ngaliyan,16
118,Sambirejo,8
119,Tandang,35
120,Pleburan,26
121,Karangturi,31
122,Sawahbesar,8
123,Lamper lor,27
124,Penggaron lor,9
125,Peterongan,27
126,Pudakpayung,2
127,Tinjomoyo,4
128,Kedungpani,14
129,Jatirejo,11
130,Wonosari,18
131,Tambakrejo,8
132,Karanganyar,37
133,Karangmalang,13
134,Purwoyoso,17
135,Kalipancur,17
136,Karang rejo,7
137,Kaligawe,8
138,Pendrikan lor,28
139,Karangtempel,31
140,Jangli,35
141,Pandean lamper,8
142,Randusari,26
143,Bulu lor,15
144,Jerakah,37
145,Sukorejo,12
146,Barusari,26
147,Jomblang,6
148,Gayamsari,8
149,Lamper tengah,27
150,Tegalsari,5
151,Mangkang wetan,36
152,Randu garut,37
153,Tugurejo,37
154,Mangkang kulon,36
155,Mangunharjo,36
156,Bambankerep,16
157,Kramas,34
158,Jabungan,3
159,Rowosari,34
160,Plamongan sari,20
161,Ngesrep,4
162,Jatingaleh,6
163,Kaliwiru,5
164,Wonotingal,5
165,Lempongsari,7
166,Candi,5
167,Lamper kidul,27
168,Kedungmundu,35
169,Sendangguwo,35
170,Mugassari,26
171,Siwalan,8
172,Muktiharjo kidul,19
173,Kudu,9
174,Karangroto,9
175,Tanjungmas,33
176,Dadapsari,33
177,Sumurejo,11
