id,nama_kelurahan,puskesmas_id,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04
1,tawangsari,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,3,0,0,0,0,1,0,0,0
2,krobokan,25,2,3,1,1,0,2,3,2,2,0,1,3,1,3,4,1,2,1,0,0,1,2,2,6,4,1,1,2,3,6,5,4,4,7,6,3,6,11,4,9
3,purwodinatan,28,3,2,0,0,0,1,0,1,2,1,2,1,0,0,0,0,1,1,0,2,0,0,2,0,2,4,1,1,1,1,2,0,2,2,3,1,1,2,0,0
4,bulustalan,26,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2,2,0,0,1,0,0,2,0,1,0,0,0,1,0,3,1,2
5,wonodri,26,2,3,1,0,0,0,1,0,2,1,3,0,1,0,0,4,1,0,3,1,2,0,3,1,2,2,1,1,3,3,4,4,5,6,2,3,1,4,4,0
6,mlatibaru,32,3,1,1,0,0,0,0,1,2,2,2,1,8,3,2,3,2,1,1,1,2,2,2,3,1,1,0,1,0,1,3,0,0,4,1,1,1,1,1,1
7,pendrikan kidul,28,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,2,1,0,0,0,0,0,0
8,gisikdrono,23,2,2,2,2,1,3,2,2,4,1,2,1,2,2,4,1,1,1,0,3,0,2,1,2,5,4,5,2,3,6,6,4,1,4,9,4,7,7,5,3
9,tawangmas,25,0,1,2,0,0,1,1,0,0,0,1,0,1,2,2,0,0,0,0,0,0,1,0,1,6,0,0,3,1,3,5,4,6,1,2,3,3,0,0,1
10,cabean,21,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
11,salamanmloyo,21,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,0,0,2,2,5,1,0,1,1,0
12,karang ayu,21,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,3,2,1,0,0,1,2,0,1,3,2,1,0,0,1,1,2,1,1,2,4,4,0,0,2
